"dataset","column_name","description","units","data_type","notes"
"mammals_specialization.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"mammals_specialization.csv","biome","Biome classification","categorical","character",NA
"reptiles_marginality.csv","term","Regression model term (e.g., intercept, slope)","categorical","character",NA
"reptiles_marginality.csv","Estimate","Regression coefficient estimate","change in response per unit predictor","numeric",NA
"reptiles_marginality.csv","Std..Error","Standard error of estimate","same as estimate","numeric",NA
"reptiles_marginality.csv","t.value","t-statistic","dimensionless","numeric",NA
"reptiles_marginality.csv","p_value","P-value","probability (0–1)","numeric",NA
"reptiles_marginality.csv","adj.r.squared","Adjusted R-squared","proportion (0–1)","numeric",NA
"reptiles_marginality.csv","lambda","Pagel's lambda (phylogenetic signal)","proportion (0–1)","numeric",NA
"reptiles_marginality.csv","lam_low","Lower CI of lambda","proportion (0–1)","numeric",NA
"reptiles_marginality.csv","lam_up","Upper CI of lambda","proportion (0–1)","numeric",NA
"reptiles_marginality.csv","class","Taxonomic class","none","character",NA
"reptiles_marginality.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"reptiles_marginality.csv","biome","Biome classification","categorical","character",NA
"reptiles_specialization.csv","term","Regression model term (e.g., intercept, slope)","categorical","character",NA
"reptiles_specialization.csv","Estimate","Regression coefficient estimate","change in response per unit predictor","numeric",NA
"reptiles_specialization.csv","Std..Error","Standard error of estimate","same as estimate","numeric",NA
"reptiles_specialization.csv","t.value","t-statistic","dimensionless","numeric",NA
"reptiles_specialization.csv","p_value","P-value","probability (0–1)","numeric",NA
"reptiles_specialization.csv","adj.r.squared","Adjusted R-squared","proportion (0–1)","numeric",NA
"reptiles_specialization.csv","lambda","Pagel's lambda (phylogenetic signal)","proportion (0–1)","numeric",NA
"reptiles_specialization.csv","lam_low","Lower CI of lambda","proportion (0–1)","numeric",NA
"reptiles_specialization.csv","lam_up","Upper CI of lambda","proportion (0–1)","numeric",NA
"reptiles_specialization.csv","class","Taxonomic class","none","character",NA
"reptiles_specialization.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"reptiles_specialization.csv","biome","Biome classification","categorical","character",NA
"sum_weighted_marg.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"sum_weighted_marg.csv","mean_B","Mean regression coefficient estimate","change in response per unit predictor","numeric",NA
"sum_weighted_marg.csv","median_B","Median regression coefficient estimate","change in response per unit predictor","numeric",NA
"sum_weighted_marg.csv","CI_lower_B","Lower confidence interval of regression coefficient","change in response per unit predictor","numeric",NA
"sum_weighted_marg.csv","CI_upper_B","Upper confidence interval of regression coefficient","change in response per unit predictor","numeric",NA
"sum_weighted_marg.csv","mean_p","Mean P-value","probability (0–1)","numeric",NA
"sum_weighted_marg.csv","median_p","Median P-value","probability (0–1)","numeric",NA
"sum_weighted_marg.csv","CI_lower_p","Lower confidence interval of P-value","probability (0–1)","numeric",NA
"sum_weighted_marg.csv","CI_upper_p","Upper confidence interval of P-value","probability (0–1)","numeric",NA
"sum_weighted_marg.csv","prop_significant","Proportion of significant PGLS models","proportion (0–1)","numeric",NA
"sum_weighted_marg.csv","mean_R","Mean adjusted R-squared","proportion (0–1)","numeric",NA
"sum_weighted_marg.csv","median_R","Median adjusted R-squared","proportion (0–1)","numeric",NA
"sum_weighted_marg.csv","CI_lower_R","Lower CI of adjusted R-squared","proportion (0–1)","numeric",NA
"sum_weighted_marg.csv","CI_upper_R","Upper CI of adjusted R-squared","proportion (0–1)","numeric",NA
"sum_weighted_marg.csv","mean_lambda","Mean Pagel's lambda","proportion (0–1)","numeric",NA
"sum_weighted_marg.csv","median_lambda","Median Pagel's lambda","proportion (0–1)","numeric",NA
"sum_weighted_marg.csv","CI_lower_lambda","Lower CI of Pagel's lambda","proportion (0–1)","numeric",NA
"sum_weighted_marg.csv","CI_upper_lambda","Upper CI of Pagel's lambda","proportion (0–1)","numeric",NA
"sum_weighted_marg.csv","class","Taxonomic class","none","character",NA
"sum_weighted_marg.csv","variable","ENFA metric analyzed","categorical","character",NA
"sum_weighted_spe.csv","ext","Extinction scenario","categorical (low, intermediate, high)","character",NA
"sum_weighted_spe.csv","mean_B","Mean regression coefficient estimate","change in response per unit predictor","numeric",NA
"sum_weighted_spe.csv","median_B","Median regression coefficient estimate","change in response per unit predictor","numeric",NA
"sum_weighted_spe.csv","CI_lower_B","Lower confidence interval of regression coefficient","change in response per unit predictor","numeric",NA
"sum_weighted_spe.csv","CI_upper_B","Upper confidence interval of regression coefficient","change in response per unit predictor","numeric",NA
"sum_weighted_spe.csv","mean_p","Mean P-value","probability (0–1)","numeric",NA
"sum_weighted_spe.csv","median_p","Median P-value","probability (0–1)","numeric",NA
"sum_weighted_spe.csv","CI_lower_p","Lower confidence interval of P-value","probability (0–1)","numeric",NA
"sum_weighted_spe.csv","CI_upper_p","Upper confidence interval of P-value","probability (0–1)","numeric",NA
"sum_weighted_spe.csv","prop_significant","Proportion of significant PGLS models","proportion (0–1)","numeric",NA
"sum_weighted_spe.csv","mean_R","Mean adjusted R-squared","proportion (0–1)","numeric",NA
"sum_weighted_spe.csv","median_R","Median adjusted R-squared","proportion (0–1)","numeric",NA
"sum_weighted_spe.csv","CI_lower_R","Lower CI of adjusted R-squared","proportion (0–1)","numeric",NA
"sum_weighted_spe.csv","CI_upper_R","Upper CI of adjusted R-squared","proportion (0–1)","numeric",NA
"sum_weighted_spe.csv","mean_lambda","Mean Pagel's lambda","proportion (0–1)","numeric",NA
"sum_weighted_spe.csv","median_lambda","Median Pagel's lambda","proportion (0–1)","numeric",NA
"sum_weighted_spe.csv","CI_lower_lambda","Lower CI of Pagel's lambda","proportion (0–1)","numeric",NA
"sum_weighted_spe.csv","CI_upper_lambda","Upper CI of Pagel's lambda","proportion (0–1)","numeric",NA
"sum_weighted_spe.csv","class","Taxonomic class","none","character",NA
"sum_weighted_spe.csv","variable","ENFA metric analyzed","categorical","character",NA
